criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.4.3,4,nav > div > nav > div:nth-of-type(5) > button,Investigación,10.20:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(27,63,126)",cumple auto,,
1.4.3,5,nav > div > nav > div:nth-of-type(6) > button,Vinculación,10.20:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(27,63,126)",cumple auto,,
1.4.3,6,nav > div > nav > div:nth-of-type(7) > button,Transparencia,10.20:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(27,63,126)",cumple auto,,
1.4.3,7,nav > div > nav > div:nth-of-type(8) > button,Servicios en Línea,10.20:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(27,63,126)",cumple auto,,
1.4.3,8,section:nth-of-type(1) > div > div:nth-of-type(7) > div:nth-of-type(1) > p,UNIVERSIDAD DE,—,11pt,"oklab(0.999994 0.0000455677 0.0000200868 / 0.7) sobre rgb(248,250,252)",NO CALCULABLE: color no legible,,
1.4.3,9,div > div:nth-of-type(7) > div:nth-of-type(1) > h1 > span:nth-of-type(1),SEGURIDAD CIUDADANA,1.05:1  (umbral 3:1),45pt negrita [texto grande],"rgb(255, 255, 255) sobre rgb(248,250,252)",INCUMPLE auto,,
1.4.3,10,div > div:nth-of-type(7) > div:nth-of-type(1) > h1 > span:nth-of-type(2),Y CIENCIAS POLICIALES,1.74:1  (umbral 3:1),45pt negrita [texto grande],"rgb(239, 184, 20) sobre rgb(248,250,252)",INCUMPLE auto,,
1.4.3,11,div > div:nth-of-type(7) > div:nth-of-type(1) > div > span:nth-of-type(2),FORMANDO LÍDERES CON EXCELENCIA Y COMPROMISO,—,11pt,"oklab(0.999994 0.0000455677 0.0000200868 / 0.8) sobre rgb(248,250,252)",NO CALCULABLE: color no legible,,
1.4.3,12,div > div:nth-of-type(7) > div:nth-of-type(2) > a:nth-of-type(1) > span,EXPLORAR PROGRAMAS,5.60:1  (umbral 4.5:1),11pt,"rgb(27, 63, 126) sobre rgb(239,184,20)",cumple auto,,
1.4.3,13,section:nth-of-type(1) > div > div:nth-of-type(7) > div:nth-of-type(2) > a:nth-of-type(2),PROCESO DE ADMISIÓN,1.05:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(248,250,252)",INCUMPLE auto,,
1.4.3,14,section:nth-of-type(2) > div:nth-of-type(3) > header > div > span,MENSAJE INSTITUCIONAL,9.60:1  (umbral 4.5:1),9pt negrita,"rgb(11, 61, 145) sobre rgb(248,250,252)",cumple auto,,
1.4.3,15,section:nth-of-type(2) > div:nth-of-type(3) > header > h2 > span,Saludo del Rector,9.75:1  (umbral 3:1),36pt negrita [texto grande],"rgb(27, 63, 126) sobre rgb(248,250,252)",cumple auto,,
1.4.3,16,div > div:nth-of-type(2) > div:nth-of-type(2) > div > p:nth-of-type(1),Reciban un cordial y respetuoso saludo desde la Rectoría de ,—,14pt,"lab(26.9569 -1.47016 -15.6993) sobre rgb(255,255,255)",NO CALCULABLE: color no legible,,
1.4.3,17,div > div:nth-of-type(2) > div:nth-of-type(2) > div > p:nth-of-type(2),Es motivo de orgullo compartir con ustedes el compromiso que,—,14pt,"lab(26.9569 -1.47016 -15.6993) sobre rgb(255,255,255)",NO CALCULABLE: color no legible,,
1.4.3,18,div > div:nth-of-type(2) > div:nth-of-type(2) > div > p:nth-of-type(3),"En USECIPOL, cada programa académico, cada investigación y c",—,14pt,"lab(26.9569 -1.47016 -15.6993) sobre rgb(255,255,255)",NO CALCULABLE: color no legible,,
1.4.3,19,div > div:nth-of-type(2) > div > div:nth-of-type(2) > p:nth-of-type(1),Rector,—,11pt,"oklab(0.999994 0.0000455678 0.0000200868 / 0.9) sobre rgb(248,250,252)",NO CALCULABLE: color no legible,,
1.4.3,20,div > div:nth-of-type(2) > div > div:nth-of-type(2) > p:nth-of-type(2),USECIPOL,1.05:1  (umbral 3:1),18pt negrita [texto grande],"rgb(255, 255, 255) sobre rgb(248,250,252)",INCUMPLE auto,,
1.4.3,21,section:nth-of-type(3) > div:nth-of-type(3) > header > div > span,ÚLTIMAS NOTICIAS,9.60:1  (umbral 4.5:1),9pt negrita,"rgb(11, 61, 145) sobre rgb(248,250,252)",cumple auto,,
1.4.3,22,section:nth-of-type(3) > div:nth-of-type(3) > header > h2 > span,Actualidad USECIPOL,9.75:1  (umbral 3:1),36pt negrita [texto grande],"rgb(27, 63, 126) sobre rgb(248,250,252)",cumple auto,,
1.4.3,23,section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(1) > span,NOTICIA,1.83:1  (umbral 4.5:1),8pt negrita,"rgb(255, 255, 255) sobre rgb(241,182,48)",INCUMPLE auto,,
1.4.3,24,div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(1) > div:nth-of-type(2) > h3,USECIPOL desarrolló su deliberación pública como parte del p,1.05:1  (umbral 3:1),18pt negrita [texto grande],"rgb(255, 255, 255) sobre rgb(248,250,252)",INCUMPLE auto,,
1.4.3,25,section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(2) > span,NOTICIA,1.83:1  (umbral 4.5:1),8pt negrita,"rgb(255, 255, 255) sobre rgb(241,182,48)",INCUMPLE auto,,
2.4.4,1,html > body > header > div:nth-of-type(1) > a,/,"""Inicio""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,2,body > header > div:nth-of-type(1) > div > a:nth-of-type(1),https://www.facebook.com/share/1bUc6EiPFL/?mibextid=wwXIfr,"""Facebook""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,3,body > header > div:nth-of-type(1) > div > a:nth-of-type(2),https://www.instagram.com/usecipol_oficial?igsh=MXJpeWV5MHVl,"""Instagram""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,4,body > header > div:nth-of-type(1) > div > a:nth-of-type(3),https://www.tiktok.com/@usecipol.oficial?_r=1&_t=ZM-911Ajb2U,"""Tiktok""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,5,body > header > div:nth-of-type(1) > div > a:nth-of-type(4),https://www.google.com,"""LinkedIn""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,6,body > header > div:nth-of-type(1) > div > a:nth-of-type(5),https://www.google.com,"""YouTube""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,7,nav > div > nav > div:nth-of-type(1) > a,/,(vacio),origen: SIN NOMBRE ACCESIBLE,,INCUMPLE (sin nombre accesible),,
2.4.4,8,section:nth-of-type(1) > div > div:nth-of-type(7) > div:nth-of-type(2) > a:nth-of-type(1),/carreras-grado,"""EXPLORAR PROGRAMAS""",origen: texto | contexto: EXPLORAR PROGRAMAS PROCESO DE ADMISIÓN,,REQUIERE JUICIO,,
2.4.4,9,section:nth-of-type(1) > div > div:nth-of-type(7) > div:nth-of-type(2) > a:nth-of-type(2),/procesos,"""PROCESO DE ADMISIÓN""",origen: texto | contexto: EXPLORAR PROGRAMAS PROCESO DE ADMISIÓN,,REQUIERE JUICIO,,
2.4.4,10,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(1),/noticias/noticia-20,"""NOTICIA
USECIPOL desarrolló su deliberación pública como parte del pro""",origen: texto | contexto: NOTICIA USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de,,REQUIERE JUICIO,,
2.4.4,11,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(2),/noticias/noticia-18,"""NOTICIA
Jornada de proceso de adquisición de libros para la Dirección """,origen: texto | contexto: NOTICIA USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de,,REQUIERE JUICIO,,
2.4.4,12,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(3),/noticias/noticia-16,"""NOTICIA
Visita protocolaria por parte de FUNDEBIP""",origen: texto | contexto: NOTICIA USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de,,REQUIERE JUICIO,,
2.4.4,13,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(4),/noticias/noticia-15,"""NOTICIA
Reunión de planificación con la Dirección Nacional de Educació""",origen: texto | contexto: NOTICIA USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de,,REQUIERE JUICIO,,
2.4.4,14,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(5),/noticias/noticia-14,"""NOTICIA
Reunión con representantes del CECPOL""",origen: texto | contexto: NOTICIA USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de,,REQUIERE JUICIO,,
2.4.4,15,main > section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(2) > a,/noticias,"""Ver más noticias""",origen: texto | contexto: Ver más noticias,,REQUIERE JUICIO,,
2.4.4,16,main > section:nth-of-type(4) > div:nth-of-type(2) > div > a:nth-of-type(1),https://www.ministeriodelinterior.gob.ec/,"""Ministerio del Interior""",origen: alt de imagen,,REQUIERE JUICIO,,
2.4.4,17,main > section:nth-of-type(4) > div:nth-of-type(2) > div > a:nth-of-type(2),https://www.policia.gob.ec/,"""Policía Nacional del Ecuador""",origen: alt de imagen,,REQUIERE JUICIO,,
2.4.4,18,div:nth-of-type(1) > div:nth-of-type(1) > ul > li:nth-of-type(1) > a,mailto:info@usecipol.edu.ec,"""info@usecipol.edu.ec""",origen: texto | contexto: info@usecipol.edu.ec,,REQUIERE JUICIO,,
2.4.4,19,footer > div:nth-of-type(1) > div:nth-of-type(1) > div > a:nth-of-type(1),https://www.facebook.com/share/1bUc6EiPFL/?mibextid=wwXIfr,"""Facebook""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,20,footer > div:nth-of-type(1) > div:nth-of-type(1) > div > a:nth-of-type(2),https://www.instagram.com/usecipol_oficial?igsh=MXJpeWV5MHVl,"""Instagram""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,21,footer > div:nth-of-type(1) > div:nth-of-type(1) > div > a:nth-of-type(3),https://www.tiktok.com/@usecipol.oficial?_r=1&_t=ZM-911Ajb2U,"""Tiktok""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,22,footer > div:nth-of-type(1) > div:nth-of-type(1) > div > a:nth-of-type(4),https://www.google.com,"""LinkedIn""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,23,footer > div:nth-of-type(1) > div:nth-of-type(1) > div > a:nth-of-type(5),https://www.google.com,"""YouTube""",origen: aria-label,,REQUIERE JUICIO,,
2.4.4,24,div:nth-of-type(1) > div:nth-of-type(2) > ul > li:nth-of-type(1) > a,/historia,"""Historia""",origen: texto | contexto: Historia,,REQUIERE JUICIO,,
2.4.4,25,div:nth-of-type(1) > div:nth-of-type(2) > ul > li:nth-of-type(2) > a,/quienes-somos,"""Quiénes Somos""",origen: texto | contexto: Quiénes Somos,,REQUIERE JUICIO,,
