criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.1.1,1,div:nth-of-type(2) > div:nth-of-type(2) > div > a > img,Escudoo.webp,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,80x102,REQUIERE JUICIO,,
1.1.1,2,div > div:nth-of-type(1) > div:nth-of-type(2) > div > img,eslog.png,"alt="""" (decorativa)",,347x137,REQUIERE JUICIO,,
1.1.1,3,div > div:nth-of-type(3) > div:nth-of-type(1) > div:nth-of-type(1) > img,9.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,4,div > div:nth-of-type(3) > div:nth-of-type(1) > div:nth-of-type(2) > img,5.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,5,div > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(1) > img,8.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,6,div > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(2) > img,7.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,7,div > div:nth-of-type(3) > div:nth-of-type(3) > div > img,Doctores0-683x1024.webp,"alt="""" (decorativa)",,325x487,REQUIERE JUICIO,,
1.1.1,8,div > div:nth-of-type(3) > div:nth-of-type(4) > div:nth-of-type(1) > img,6.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,9,div > div:nth-of-type(3) > div:nth-of-type(4) > div:nth-of-type(2) > img,4.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,10,div > div:nth-of-type(3) > div:nth-of-type(5) > div:nth-of-type(1) > img,3.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,11,div > div:nth-of-type(3) > div:nth-of-type(5) > div:nth-of-type(2) > img,1.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,12,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(1) > a > div,,"alt=""CalendarioAcademicoPI2026""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,13,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(2) > div,,"alt=""Actualizacion Turismo""",,620x600,REQUIERE JUICIO,,
1.1.1,14,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(3) > div,,"alt=""Aceptacion de Cupo""",,620x600,REQUIERE JUICIO,,
1.1.1,15,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(4) > a > div,,"alt=""FacultadCN""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,16,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(5) > a > div,,"alt=""ConvencionFCSH""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,17,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(6) > a > div,,"alt=""Convencion Unesum2026""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,18,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(7) > a > div,,"alt=""Convencion U2026""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,19,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(8) > a > div,,"alt=""Costos""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,20,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(9) > a > div,,"alt=""Extensos""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,21,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(10) > a > div,,"alt=""CIC2026""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,22,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(11) > a > div,,"alt=""Internado Rotativo-1""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,23,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(12) > a > div,,"alt=""Oportunidad Internacional""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,24,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(13) > a > div,,"alt=""II Edicion Galapagos""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,25,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(14) > a > div,,"alt=""Becas LaRabida""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.4.3,1,div > div:nth-of-type(1) > ul > li:nth-of-type(1) > span:nth-of-type(2),asistencia@unesum.edu.ec,9.13:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(1,84,40)",cumple auto,,
1.4.3,2,div > div:nth-of-type(1) > ul > li:nth-of-type(2) > span:nth-of-type(2),"Km 1½, Vía Jipijapa – Noboa",9.13:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(1,84,40)",cumple auto,,
1.4.3,3,div > div:nth-of-type(1) > ul > li:nth-of-type(3) > span:nth-of-type(2),"Lunes a viernes, de 08:00 a.m. a 17:00 p.m.",9.13:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(1,84,40)",cumple auto,,
1.4.3,4,div:nth-of-type(2) > ul > li:nth-of-type(1) > a > span,Himno,9.13:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(1,84,40)",cumple auto,,
1.4.3,5,div:nth-of-type(2) > ul > li:nth-of-type(2) > a > span,Escríbenos,9.13:1  (umbral 4.5:1),11pt,"rgb(255, 255, 255) sobre rgb(1,84,40)",cumple auto,,
1.4.3,6,div:nth-of-type(3) > div > span:nth-of-type(1) > a > span,Facebook,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,7,div:nth-of-type(3) > div > span:nth-of-type(2) > a > span,Instagram,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,8,div:nth-of-type(3) > div > span:nth-of-type(3) > a > span,X-twitter,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,9,div:nth-of-type(3) > div > span:nth-of-type(4) > a > span,Tiktok,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,10,div:nth-of-type(3) > div > span:nth-of-type(5) > a > span,Youtube,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,11,div:nth-of-type(3) > div > span:nth-of-type(6) > a > span,Linkedin,1.34:1  (umbral 4.5:1),11pt,"rgb(2, 55, 96) sobre rgb(1,84,40)",INCUMPLE auto,,
1.4.3,12,#e-n-menu-title-2181 > a > span,Inicio,7.72:1  (umbral 4.5:1),12pt,"rgb(1, 84, 40) sobre rgb(238,236,229)",cumple auto,,
1.4.3,13,#e-n-menu-title-2182 > div > span,Universidad,17.77:1  (umbral 4.5:1),12pt,"rgb(0, 0, 0) sobre rgb(238,236,229)",cumple auto,,
